Dish Name,State,Cooking Time,Ingredients,Detailed Process,Serving Suggestions
Thalassery Biryani,Karnataka,70 mins,"Basmati rice, Chicken, Spices, Potatoes","1. Marinate chicken with spices. 2. Cook rice separately. 3. Layer chicken and rice in a pot, cooking on low heat until flavors meld.",Serve with salad and raita.
Kothu Kothu,Karnataka,45 mins,"Idiyappam, Eggs, Spices",1. Shred idiyappam and saute with eggs and spices. 2. Mix well and cook until heated through.,Serve as a snack or light meal.
Kerala Sadya,Kerala,120 mins,"Rice, Various curries, Pickles, Papad","1. Prepare multiple dishes (curries, pickles) and serve on a banana leaf with rice. 2. Each dish should complement the others for a full meal experience.",Enjoy with a traditional setting on a banana leaf.
Appam,Keral,45 mins,"Rice flour, Coconut milk, Vegetables, Spices",1. Prepare appam batter from rice flour and coconut milk. 2. Cook in appam pan. 3. Prepare stew with vegetables and spices. 4. Serve together.,Ideal for breakfast or lunch.
Fish Moilee,Keral,60 mins,"Fish, Coconut milk, Spices",1. Cook fish with spices until done. 2. Add coconut milk and simmer. 3. Adjust seasoning and cook briefly.,Serve with steamed rice or appam.
Puttu,Keral,30 mins,"Rice flour, Coconut",1. Mix rice flour with grated coconut. 2. Steam in a puttu maker. 3. Serve with banana or sugar.,Great for breakfast with kadala curry.
Kerala Beef Fry,Keral,60 mins,"Beef, Onions, Spices, Coconut oil",1. Marinate beef with spices. 2. Cook with onions and fry until browned and crispy.,Serve with rice or parotta.
Karimeen Pollichathu,Keral,45 mins,"Pearl spot fish, Banana leaf, Spices",1. Marinate fish with spices. 2. Wrap in banana leaf and steam or grill. 3. Serve hot with rice.,Perfect for a coastal meal.
Chicken Curry,Andhra Pradesh,60 mins,"Chicken, Onions, Tomatoes, Spices",1. Saute onions and spices. 2. Add chicken and cook until tender. 3. Simmer for flavors to meld.,Serve with rice or rotis.
Hyderabadi Biryani,Andhra Pradesh,70 mins,"Basmati rice, Chicken, Spices, Yogurt",1. Marinate chicken with yogurt and spices. 2. Cook rice and layer with marinated chicken. 3. Cook on low heat to meld flavors.,Serve with mirchi ka salan and raita.
Pulihora,Andhra Pradesh,30 mins,"Rice, Tamarind, Peanuts, Spices",1. Cook rice and let it cool. 2. Prepare tamarind paste and mix with spices. 3. Combine with rice and peanuts.,Serve as a side or snack.
Vankaya Kura,Andhra Pradesh,45 mins,"Brinjal, Onions, Spices",1. Cook brinjal with onions and spices until soft. 2. Adjust seasoning and serve.,Serve with rice or chapati.
Gongura Pachadi,Andhra Pradesh,20 mins,"Gongura leaves, Green chilies, Spices",1. Cook gongura leaves and green chilies. 2. Grind with spices. 3. Temper with mustard seeds and serve.,Serve as a condiment with rice.
Andhra Egg Curry,Andhra Pradesh,30 mins,"Eggs, Onions, Tomatoes, Spices",1. Hard boil eggs. 2. Saute onions and tomatoes with spices. 3. Add eggs and simmer briefly.,Serve with rice or chapati.
Karam Dosa,Telangana,30 mins,"Rice, Urad dal, Karam powder","1. Prepare dosa batter and ferment. 2. Spread on tawa, sprinkle with karam powder, and cook.",Serve with chutney and sambar.
Pachi Pulusu,Telangana,15 mins,"Raw vegetables, Tamarind, Spices",1. Combine chopped raw vegetables with tamarind and spices. 2. Mix well and serve fresh.,Enjoy as a side with rice.
Telangana Chicken Fry,Telangana,45 mins,"Chicken, Spices, Oil",1. Marinate chicken with spices. 2. Fry in oil until crispy. 3. Serve hot.,Great as an appetizer or snack.
Sarva Pindi,Telangana,60 mins,"Rice flour, Peanuts, Spices",1. Mix rice flour with peanuts and spices. 2. Shape into flat discs and fry until crispy. 3. Serve hot.,Enjoy as a snack or breakfast item.
Biryani (Telangana Style),Telangana,70 mins,"Basmati rice, Chicken/Vegetables, Spices",1. Marinate chicken/vegetables with spices. 2. Layer with partially cooked rice and cook on low heat.,Serve with raita and salad.
Butter Chicken,North India,60 mins,"Chicken, Butter, Cream, Spices",1. Marinate chicken in spices and yogurt. 2. Cook in butter and cream sauce. 3. Serve with naan or rice.,Great with naan or tandoori roti.
Paneer Tikka,North India,30 mins,"Paneer, Yogurt, Spices",1. Marinate paneer in yogurt and spices. 2. Skewer and grill or bake. 3. Serve hot with mint chutney.,Perfect as an appetizer or snack.
Dal Makhani,North India,90 mins,"Black lentils, Cream, Butter, Spices","1. Soak lentils overnight. 2. Cook with spices, butter, and cream for a rich flavor. 3. Simmer for hours.",Serve with naan or rice.
Chole Bhature,North India,60 mins,"Chickpeas, Flour, Spices",1. Soak chickpeas overnight. 2. Cook with spices and serve with deep-fried bhature made from flour.,Serve as a hearty breakfast or lunch.
Aloo Gobi,North India,30 mins,"Potatoes, Cauliflower, Spices",1. Cook potatoes and cauliflower with spices until tender. 2. Adjust seasoning and serve.,Serve with chapati or paratha.
Gulab Jamun,North India,30 mins,"Milk powder, Flour, Sugar, Cardamom",1. Prepare dough with milk powder and form into balls. 2. Deep fry until golden and soak in sugar syrup.,Serve warm or at room temperature as a dessert.
Rasgulla,North India,30 mins,"Chenna, Sugar, Cardamom",1. Prepare chenna by curdling milk. 2. Form into balls and cook in sugar syrup. 3. Chill before serving.,Enjoy as a refreshing dessert.
